flight,date,growth_stage,subplot,N_rate_kg_ha,canopy_area_m2,canopy_polygon_count,NDVI_mean,MSAVI_mean,WDRVI_mean,harvest_area_m2,harvested_grain_kg,grain_yield_t_ha
1,2024-09-07,V4,P1,0,1.24602086041099,39,0.830907704076576,0.635044297317243,0.269568975490437,40.0,3.722,0.9305
1,2024-09-07,V4,P2,100,0.956102668503795,36,0.814956076300278,0.625706638626854,0.26432941089838,40.0,5.077,1.26925
1,2024-09-07,V4,P3,200,0.732697469706883,34,0.791433231876325,0.607601166765681,0.256798643838881,40.0,4.696,1.174
1,2024-09-07,V4,P4,300,0.943895080278593,36,0.791431971596016,0.602106789539996,0.256246509757586,40.0,7.664,1.916
1,2024-09-07,V4,P5,400,1.26525494438559,35,0.825693646567229,0.642763898899395,0.268839900729465,40.0,5.282,1.3205
2,2024-09-14,R5,P1,0,1.24420527099943,39,0.846519555991384,0.358072532588906,0.364475914568409,40.0,3.722,0.9305
2,2024-09-14,R5,P2,100,0.94298891408538,36,0.849756438219891,0.391236226565641,0.374035982867793,40.0,5.077,1.26925
2,2024-09-14,R5,P3,200,1.53622605766967,36,0.851046773871937,0.402641731344684,0.377933952606892,40.0,4.696,1.174
2,2024-09-14,R5,P4,300,1.679304260229,36,0.853092128507169,0.422568673272505,0.384210158007949,40.0,7.664,1.916
2,2024-09-14,R5,P5,400,2.30322003345405,36,0.852645928580255,0.422200676868055,0.383012833421875,40.0,5.282,1.3205
3,2024-10-02,R6,P1,0,8.55696573766727,41,0.930232293882048,0.711235813221876,0.677338596683257,40.0,3.722,0.9305
3,2024-10-02,R6,P2,100,8.00989674786706,41,0.928991166450537,0.720164812999337,0.672909030465335,40.0,5.077,1.26925
3,2024-10-02,R6,P3,200,8.63417584852505,43,0.930374471597133,0.728113926844704,0.678853918049456,40.0,4.696,1.174
3,2024-10-02,R6,P4,300,13.310398727247,40,0.932575053621648,0.72634158494537,0.687011000980464,40.0,7.664,1.916
3,2024-10-02,R6,P5,400,11.1274406102766,44,0.930390158325698,0.712084360524794,0.675939826053506,40.0,5.282,1.3205
4,2024-10-09,R7,P1,0,14.7653648766936,8,0.786976477081752,0.652158578381301,0.198354752297343,40.0,3.722,0.9305
4,2024-10-09,R7,P2,100,11.050488889241,30,0.784928500792767,0.645989159735254,0.193188258774676,40.0,5.077,1.26925
4,2024-10-09,R7,P3,200,12.6205156370588,36,0.79076270974494,0.664717230800793,0.207899905032194,40.0,4.696,1.174
4,2024-10-09,R7,P4,300,16.8500157366801,35,0.796905858709583,0.683363472604663,0.223564300779262,40.0,7.664,1.916
4,2024-10-09,R7,P5,400,15.5166312148143,34,0.795926297480938,0.680712373152195,0.221005185379016,40.0,5.282,1.3205
5,2024-10-16,R8,P1,0,13.3757326664997,1,0.865643777047097,0.702707631518237,0.229877779653072,40.0,3.722,0.9305
5,2024-10-16,R8,P2,100,14.3907776582602,1,0.858361680986984,0.710518904821373,0.228812432762359,40.0,5.077,1.26925
5,2024-10-16,R8,P3,200,16.6921091594076,1,0.857532915245176,0.704348192686125,0.228349980982789,40.0,4.696,1.174
5,2024-10-16,R8,P4,300,19.1052644323932,1,0.894688687465109,0.758269849454346,0.238465256734317,40.0,7.664,1.916
5,2024-10-16,R8,P5,400,17.4927594975741,1,0.883726733714174,0.727601641813793,0.234600211544744,40.0,5.282,1.3205
