"flight","date","growth_stage","variable","n","pearson_r","spearman_rho"
1,"2024-09-07","V4","canopy_area_m2",5,0.0184192363143224,0.1
1,"2024-09-07","V4","NDVI_mean",5,-0.287609870345194,-0.4
1,"2024-09-07","V4","MSAVI_mean",5,-0.0740037867607378,0
1,"2024-09-07","V4","WDRVI_mean",5,-0.236345039827221,-0.4
2,"2024-09-14","R5","canopy_area_m2",5,0.882622465129862,0.9
2,"2024-09-14","R5","NDVI_mean",5,0.932303103057879,0.9
2,"2024-09-14","R5","MSAVI_mean",5,0.9466919284529,0.9
2,"2024-09-14","R5","WDRVI_mean",5,0.936943347341509,0.9
3,"2024-10-02","R6","canopy_area_m2",5,0.736261373903749,0.8
3,"2024-10-02","R6","NDVI_mean",5,0.477086669123678,0.8
3,"2024-10-02","R6","MSAVI_mean",5,0.159174038827928,0.3
3,"2024-10-02","R6","WDRVI_mean",5,0.338261035458116,0.2
4,"2024-10-09","R7","canopy_area_m2",5,0.49820295892135,0.6
4,"2024-10-09","R7","NDVI_mean",5,0.891927202890621,0.8
4,"2024-10-09","R7","MSAVI_mean",5,0.896888968803994,0.8
4,"2024-10-09","R7","WDRVI_mean",5,0.891495148733108,0.8
5,"2024-10-16","R8","canopy_area_m2",5,0.880973576669519,0.9
5,"2024-10-16","R8","NDVI_mean",5,0.694995978636389,0.5
5,"2024-10-16","R8","MSAVI_mean",5,0.664609671214076,0.8
5,"2024-10-16","R8","WDRVI_mean",5,0.690273315198856,0.5
