"flight","date","growth_stage","UAV_variable","n","pearson_r","spearman_rho"
1,"2024-09-07","V4","canopy_area_m2",5,-0.26843231299827,0
1,"2024-09-07","V4","NDVI_mean",5,-0.615942693702262,-0.6
1,"2024-09-07","V4","MSAVI_mean",5,-0.5911699784293,-0.3
1,"2024-09-07","V4","WDRVI_mean",5,-0.61763888902742,-0.6
2,"2024-09-14","R5","canopy_area_m2",5,0.307966816630508,0.6
2,"2024-09-14","R5","NDVI_mean",5,0.79256419541759,0.9
2,"2024-09-14","R5","MSAVI_mean",5,0.768796173816699,0.9
2,"2024-09-14","R5","WDRVI_mean",5,0.791454813391378,0.9
3,"2024-10-02","R6","canopy_area_m2",5,0.868222923319806,0.7
3,"2024-10-02","R6","NDVI_mean",5,0.762396340324196,0.7
3,"2024-10-02","R6","MSAVI_mean",5,0.526511083044244,0.3
3,"2024-10-02","R6","WDRVI_mean",5,0.747665652533023,0.2
4,"2024-10-09","R7","canopy_area_m2",5,0.518453106784124,0.6
4,"2024-10-09","R7","NDVI_mean",5,0.703767514344853,0.7
4,"2024-10-09","R7","MSAVI_mean",5,0.698646590688671,0.7
4,"2024-10-09","R7","WDRVI_mean",5,0.705503424722375,0.7
5,"2024-10-16","R8","canopy_area_m2",5,0.842250066536626,0.9
5,"2024-10-16","R8","NDVI_mean",5,0.782666411974461,0.7
5,"2024-10-16","R8","MSAVI_mean",5,0.955486528599488,1
5,"2024-10-16","R8","WDRVI_mean",5,0.843348904919472,0.7
