"flight","date","growth_stage","subplot","N_rate_kg_ha","source_polygon_count","gpkg_polygon_count","source_area_m2","gpkg_area_m2","area_difference_m2","polygon_count_ok","area_ok"
1,"2024-09-07","V4","P1",0,39,39,1.24602086041099,1.24602086041099,0,TRUE,TRUE
1,"2024-09-07","V4","P2",100,36,36,0.956102668503795,0.956102668503795,0,TRUE,TRUE
1,"2024-09-07","V4","P3",200,34,34,0.732697469706883,0.732697469706883,0,TRUE,TRUE
1,"2024-09-07","V4","P4",300,36,36,0.943895080278593,0.943895080278593,0,TRUE,TRUE
1,"2024-09-07","V4","P5",400,35,35,1.26525494438559,1.26525494438559,0,TRUE,TRUE
2,"2024-09-14","R5","P1",0,39,39,1.24420527099943,1.24420527099943,0,TRUE,TRUE
2,"2024-09-14","R5","P2",100,36,36,0.94298891408538,0.94298891408538,0,TRUE,TRUE
2,"2024-09-14","R5","P3",200,36,36,1.53622605766967,1.53622605766967,0,TRUE,TRUE
2,"2024-09-14","R5","P4",300,36,36,1.679304260229,1.679304260229,0,TRUE,TRUE
2,"2024-09-14","R5","P5",400,36,36,2.30322003345405,2.30322003345405,0,TRUE,TRUE
3,"2024-10-02","R6","P1",0,41,41,8.55696573766727,8.55696573766727,0,TRUE,TRUE
3,"2024-10-02","R6","P2",100,41,41,8.00989674786706,8.00989674786706,0,TRUE,TRUE
3,"2024-10-02","R6","P3",200,43,43,8.63417584852505,8.63417584852505,0,TRUE,TRUE
3,"2024-10-02","R6","P4",300,40,40,13.310398727247,13.310398727247,0,TRUE,TRUE
3,"2024-10-02","R6","P5",400,44,44,11.1274406102766,11.1274406102766,0,TRUE,TRUE
4,"2024-10-09","R7","P1",0,8,8,14.7653648766936,14.7653648766936,0,TRUE,TRUE
4,"2024-10-09","R7","P2",100,30,30,11.050488889241,11.050488889241,0,TRUE,TRUE
4,"2024-10-09","R7","P3",200,36,36,12.6205156370588,12.6205156370588,0,TRUE,TRUE
4,"2024-10-09","R7","P4",300,35,35,16.8500157366801,16.8500157366801,0,TRUE,TRUE
4,"2024-10-09","R7","P5",400,34,34,15.5166312148143,15.5166312148143,0,TRUE,TRUE
5,"2024-10-16","R8","P1",0,1,1,13.3757326664997,13.3757326664997,0,TRUE,TRUE
5,"2024-10-16","R8","P2",100,1,1,14.3907776582602,14.3907776582602,0,TRUE,TRUE
5,"2024-10-16","R8","P3",200,1,1,16.6921091594076,16.6921091594076,0,TRUE,TRUE
5,"2024-10-16","R8","P4",300,1,1,19.1052644323932,19.1052644323932,0,TRUE,TRUE
5,"2024-10-16","R8","P5",400,1,1,17.4927594975741,17.4927594975741,0,TRUE,TRUE
