"flight","date","growth_stage","subplot","N_rate_kg_ha","canopy_polygon_count","canopy_area_m2","canopy_area_range_m2","minimum_coverage_pct","maximum_coverage_pct","maximum_pct_outside_minus1_1"
1,"2024-09-07","V4","P1",0,39,1.24602086041099,0,99.9000008697157,100.038648421322,0
1,"2024-09-07","V4","P2",100,36,0.956102668503795,0,99.4882067760946,99.6959363629279,0.0508750508750509
1,"2024-09-07","V4","P3",200,34,0.732697469706883,0,99.1318192672392,100.180828289721,0
1,"2024-09-07","V4","P4",300,36,0.943895080278593,0,99.4726682542855,100.339624985778,0
1,"2024-09-07","V4","P5",400,35,1.26525494438559,0,99.7499841349754,100.200775909762,0.0458050232842202
2,"2024-09-14","R5","P1",0,39,1.24420527099943,0,99.4680069848811,99.4680069848811,0
2,"2024-09-14","R5","P2",100,36,0.94298891408538,0,100.233853807322,100.233853807322,0
2,"2024-09-14","R5","P3",200,36,1.53622605766967,0,99.2527163389661,99.2527163389661,0
2,"2024-09-14","R5","P4",300,36,1.679304260229,0,100.976554255539,100.976554255539,0
2,"2024-09-14","R5","P5",400,36,2.30322003345405,0,100.059042815308,100.059042815308,0
3,"2024-10-02","R6","P1",0,41,8.55696573766727,0,99.6262004006412,99.6262004006412,0.00204419550685828
3,"2024-10-02","R6","P2",100,41,8.00989674786706,0,98.6537252693399,98.6537252693399,0.00110266956301205
3,"2024-10-02","R6","P3",200,43,8.63417584852505,0,98.893744618108,98.893744618108,0.0102046022756263
3,"2024-10-02","R6","P4",300,40,13.310398727247,0,99.1139869011989,99.1139869011989,0.0105676827053268
3,"2024-10-02","R6","P5",400,44,11.1274406102766,0,100.048183201384,100.048183201384,0
4,"2024-10-09","R7","P1",0,8,14.7653648766936,0,99.9290704968112,99.9290704968112,0
4,"2024-10-09","R7","P2",100,30,11.050488889241,0,99.7869428825565,99.7869428825565,0
4,"2024-10-09","R7","P3",200,36,12.6205156370588,0,99.8520644319446,99.8520644319446,0
4,"2024-10-09","R7","P4",300,35,16.8500157366801,0,100.068662423566,100.068662423566,0
4,"2024-10-09","R7","P5",400,34,15.5166312148143,0,99.7846570043823,99.7846570043823,0
5,"2024-10-16","R8","P1",0,1,13.3757326664997,0,99.9192322734336,99.9392061089683,0.0448536754625006
5,"2024-10-16","R8","P2",100,1,14.3907776582602,0,99.9392324686531,99.9622552509692,0.162040132463875
5,"2024-10-16","R8","P3",200,1,16.6921091594076,0,99.9391635858584,99.9807628777858,0.0813785526824405
5,"2024-10-16","R8","P4",300,1,19.1052644323932,0,99.9332748346876,99.964812315693,0.197905988730024
5,"2024-10-16","R8","P5",400,1,17.4927594975741,0,99.9171519452193,99.9391709421625,0.0951259286102555
